2026-04-01 11:02:24 [info     ] cgu_collector_init             num_keys=7 rpm_per_key=400 total_rpm=2800
2026-04-01 11:03:56 [warning  ] rate_limit_or_auth_retry       codigo=170860000012020NS012966 retry=1 status=401
2026-04-01 11:03:57 [warning  ] rate_limit_or_auth_retry       codigo=180073000012020NE800316 retry=1 status=401
2026-04-01 11:03:58 [warning  ] rate_limit_or_auth_retry       codigo=180073000012020NE800560 retry=1 status=401
2026-04-01 11:03:58 [warning  ] rate_limit_or_auth_retry       codigo=180073000012021NS000331 retry=1 status=401
2026-04-01 11:03:58 [warning  ] rate_limit_or_auth_retry       codigo=180006000012024NS001298 retry=1 status=401
2026-04-01 11:03:59 [warning  ] rate_limit_or_auth_retry       codigo=110594000012020NE800086 retry=1 status=401
2026-04-01 11:03:59 [warning  ] rate_limit_or_auth_retry       codigo=160002000012020NE800686 retry=1 status=401
2026-04-01 11:03:59 [warning  ] rate_limit_or_auth_retry       codigo=170860000012020NS012966 retry=2 status=401
2026-04-01 11:04:00 [warning  ] rate_limit_or_auth_retry       codigo=160002000012021DF800079 retry=1 status=401
2026-04-01 11:04:01 [warning  ] rate_limit_or_auth_retry       codigo=110594000012021OB800267 retry=1 status=401
2026-04-01 11:04:01 [warning  ] rate_limit_or_auth_retry       codigo=180073000012021NS000331 retry=2 status=401
2026-04-01 11:04:01 [warning  ] rate_limit_or_auth_retry       codigo=110594000012022OB800526 retry=1 status=401
2026-04-01 11:04:02 [warning  ] rate_limit_or_auth_retry       codigo=110594000012020NE800086 retry=2 status=401
2026-04-01 11:04:02 [warning  ] rate_limit_or_auth_retry       codigo=160002000012020NE800686 retry=2 status=401
2026-04-01 11:04:03 [warning  ] rate_limit_or_auth_retry       codigo=788310000012020NE000564 retry=1 status=401
2026-04-01 11:04:03 [warning  ] rate_limit_or_auth_retry       codigo=110594000012021NS001993 retry=1 status=401
2026-04-01 11:04:04 [warning  ] rate_limit_or_auth_retry       codigo=110594000012021NS002714 retry=1 status=401
2026-04-01 11:04:05 [warning  ] rate_limit_or_auth_retry       codigo=110594000012022NS002281 retry=1 status=401
2026-04-01 11:04:06 [warning  ] rate_limit_or_auth_retry       codigo=110594000012020NE800007 retry=1 status=401
2026-04-01 11:04:06 [warning  ] rate_limit_or_auth_retry       codigo=110594000012020NE800125 retry=1 status=401
2026-04-01 11:04:07 [warning  ] rate_limit_or_auth_retry       codigo=110594000012021NS001993 retry=2 status=401
2026-04-01 11:04:07 [warning  ] rate_limit_or_auth_retry       codigo=160536000012020NE800459 retry=1 status=401
2026-04-01 11:04:07 [warning  ] rate_limit_or_auth_retry       codigo=120641000012020NE801410 retry=1 status=401
2026-04-01 11:04:08 [warning  ] rate_limit_or_auth_retry       codigo=160002000012021NS000211 retry=1 status=401
2026-04-01 11:04:08 [warning  ] rate_limit_or_auth_retry       codigo=160002000012021NS000693 retry=1 status=401
2026-04-01 11:04:08 [warning  ] rate_limit_or_auth_retry       codigo=160536000012021OB800331 retry=1 status=401
2026-04-01 11:04:09 [warning  ] rate_limit_or_auth_retry       codigo=160018000012021NS002392 retry=1 status=401
2026-04-01 11:04:09 [warning  ] rate_limit_or_auth_retry       codigo=160350000012021OB800625 retry=1 status=401
2026-04-01 11:04:10 [warning  ] rate_limit_or_auth_retry       codigo=110594000012022OB800076 retry=1 status=401
2026-04-01 11:04:10 [warning  ] rate_limit_or_auth_retry       codigo=110594000012023OB800224 retry=1 status=401
2026-04-01 11:04:11 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE805294 retry=1 status=401
2026-04-01 11:04:11 [warning  ] rate_limit_or_auth_retry       codigo=160002000012021NS000693 retry=2 status=401
2026-04-01 11:04:12 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NS101477 retry=1 status=401
2026-04-01 11:04:12 [warning  ] rate_limit_or_auth_retry       codigo=160018000012021NS002392 retry=2 status=401
2026-04-01 11:04:12 [warning  ] rate_limit_or_auth_retry       codigo=130141000012020NS004835 retry=1 status=401
2026-04-01 11:04:13 [warning  ] rate_limit_or_auth_retry       codigo=110594000012022OB800076 retry=2 status=401
2026-04-01 11:04:13 [warning  ] rate_limit_or_auth_retry       codigo=130141000012021OB800843 retry=1 status=401
2026-04-01 11:04:13 [warning  ] rate_limit_or_auth_retry       codigo=130141000012022NS002262 retry=1 status=401
2026-04-01 11:04:14 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE805294 retry=2 status=401
2026-04-01 11:04:14 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE811085 retry=1 status=401
2026-04-01 11:04:15 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE811106 retry=1 status=401
2026-04-01 11:04:16 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE811113 retry=1 status=401
2026-04-01 11:04:16 [warning  ] rate_limit_or_auth_retry       codigo=170860000012020NS012903 retry=1 status=401
2026-04-01 11:04:17 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE811122 retry=1 status=401
2026-04-01 11:04:17 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE811095 retry=1 status=401
2026-04-01 11:04:18 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE824007 retry=1 status=401
2026-04-01 11:04:18 [warning  ] rate_limit_or_auth_retry       codigo=110594000012020NE800002 retry=1 status=401
2026-04-01 11:04:19 [warning  ] rate_limit_or_auth_retry       codigo=110594000012020NE800110 retry=1 status=401
2026-04-01 11:04:19 [warning  ] rate_limit_or_auth_retry       codigo=160536000012021NS000830 retry=1 status=401
2026-04-01 11:04:20 [warning  ] rate_limit_or_auth_retry       codigo=110594000012022OB800128 retry=1 status=401
